[[1]]
Markov Chain Monte Carlo (MCMC) output:
Start = 50275 
End = 60250 
Thinning interval = 25 
             beta[1]       beta[2]      beta[3]       beta[4]      beta[5]       beta[6] mulogsummer[1,1] mulogsummer[2,1] mulogsummer[1,2]
 [57,]  0.0300948449 -0.1812223025 -0.233221659  0.1460393027 -0.093769689 -0.1478139591         38.72555         44.19683         46.25302
 [58,] -0.1503198428  0.2440516557 -0.555188392  0.5721701140 -0.141535039 -0.1671060295         26.37851         31.50652         30.56558
 [59,] -0.1033286898 -0.1750930218 -0.525752311  0.3372716891 -0.242871966 -0.0543489022         36.88841         33.56488         44.27380
 [60,] -0.3561489262 -0.0782442964 -0.325025245  0.0720077108 -0.217339574 -0.2668145675         38.30035         46.05416         40.83250
 [61,] -0.2359456778 -0.0517993635 -0.599529905  0.2758137054 -0.216463991 -0.0091266154         31.26200         28.83453         31.58185
 [62,]  0.0923197702 -0.1139894491 -0.450740099  0.4847318491 -0.081597465 -0.0490728346         21.55557         27.73041         31.08463
 [63,] -0.3780078907 -0.0726670832 -0.497358691  0.1200335307 -0.089787844  0.0463219776         24.21742         43.46654         37.63767
 [64,] -0.2581516789 -0.0246431324 -0.708722439  0.4790132743 -0.285909728  0.0001046676         42.27462         50.94507         32.09954
 [65,] -0.2842170709 -0.1901238750 -0.414554210  0.0963534848 -0.297230896  0.0285831734         30.76344         44.03280         55.97555
 [66,] -0.1131921304 -0.0610529506 -0.107086440  0.0075390084 -0.182859742  0.0280688281         37.55918         47.40204         46.92238
 [67,] -0.2411408964 -0.0781839980 -0.242480079  0.0108212659 -0.385514357 -0.0645752420         33.66369         39.40343         46.03807
 [68,] -0.2554391558  0.0175910780 -0.470749190  0.1890103403 -0.307194448  0.0633644782         43.43511         48.78207         37.63101
 [69,]  0.0211230105 -0.2055022828 -0.674366587  0.6097661196 -0.095657255 -0.2632940098         20.44236         35.06248         33.95396
 [70,] -0.1256699013 -0.1499479718 -0.830856726  0.6372563520 -0.235371575 -0.2217993116         22.46309         20.63401         26.07343
 [71,] -0.1292024827 -0.1248153849 -0.417682719  0.1546725599 -0.286248143 -0.0225724264         20.30755         25.35952         27.44118
 [72,] -0.0719996616  0.0606155839 -0.372930281  0.3018477977 -0.146472334 -0.0814977861         35.45683         42.51845         26.52678
 [73,]  0.0941816037 -0.0200020685 -0.769668898  0.7720591265 -0.132395124 -0.1935436552         36.24431         36.01247         51.51269
 [74,] -0.0694215928  0.0126841718 -0.424071409  0.2815946518 -0.409670988  0.0536589706         35.03101         46.34285         48.66224
 [75,] -0.3744613389 -0.0391135713 -0.801515661  0.5579573172 -0.167455400 -0.0370435026         48.16688         44.79779         43.07506
 [76,]  0.0308692793  0.1278412141 -0.897081609  0.8696652063 -0.057838732 -0.2348067989         31.81532         27.39712         30.88396
       mulogsummer[2,2]  sd.index sigmalogsummer t.sd.index
  [1,]         65.47515 0.8784354      10.303273 0.45900820
  [2,]         48.77516 0.8984893       9.032744 0.57920570
  [3,]         66.48892 0.8495921      10.382314 0.46503489
  [4,]         51.00437 0.9676039      10.715870 1.60354372
  [5,]         37.37454 0.9308834       7.402668 1.28645010
  [6,]         63.38941 0.8912440      10.735644 1.80354035
  [7,]         83.80054 0.9735241      10.530052 1.21029383
  [8,]         62.37938 0.9352021      10.580865 0.88748039
  [9,]         46.35070 0.8923774      10.219162 1.98780498
 [10,]         67.96105 0.9417740      10.737625 0.67997359
 [11,]         71.12164 0.9403615      10.639109 1.63947540
 [12,]         69.47717 0.8874750      10.458378 1.87477459
 [13,]         49.17434 0.9681806       9.365222 0.14559082
 [14,]         45.62173 0.9760923       8.644909 0.78676542
 [15,]         38.53347 0.9527233       8.203870 0.20766814
 [16,]         52.14434 0.8986006      10.131021 1.24078731
 [17,]         63.64632 0.9111285      10.376596 0.88312979
 [18,]         39.70714 1.0516479       8.143747 1.03910758
 [19,]         58.17097 0.9743265       8.567512 0.49682020
 [20,]         46.07211 0.9674980      10.121479 1.09876014
 [21,]         41.24582 0.8541737       8.892638 1.46688828
 [22,]         76.09478 0.9578806      10.645880 0.70151512
 [23,]         62.36690 1.0379484      10.481269 0.44518157
 [24,]         48.95204 0.9683253       9.797617 1.53853764
 [25,]         56.16301 0.8832507       9.518515 1.18945752
 [26,]         50.30975 0.9085627       8.250424 0.27236500
 [27,]         42.71922 0.9062023       7.630720 1.78047196
 [28,]         77.38207 0.8578657      10.702279 0.17281748
 [29,]         64.06362 0.8984959      10.001531 1.83832874
 [30,]         52.90214 0.9280542       9.122406 1.83472484
 [31,]         48.51982 0.9220895       8.827238 1.09856119
 [32,]         61.24673 0.9740816       9.280561 0.83984558
 [33,]         47.88893 0.9630401       8.384423 1.77752525
 [34,]         52.66930 0.9479679       9.902216 1.77055576
 [35,]         45.62130 0.9541329       9.269232 1.53160216
 [36,]         50.30052 0.9886897      10.104075 0.97244396
 [37,]         53.79702 0.9444743       9.507207 0.51649853
 [38,]         47.60564 0.8809351       8.835838 1.80086349
 [39,]         55.83575 0.9372648       9.916756 1.14207543
 [40,]         57.03638 0.9465716       9.683024 1.28568216
 [41,]         53.66833 0.8219595       9.663244 0.10476159
 [42,]         48.93274 0.9252013       8.856090 0.72070036
