
Iterations = 70275:80250
Thinning interval = 25 
Number of chains = 3 
Sample size per chain = 400 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

             Mean        SD  Naive SE Time-series SE
hr[39]  1.163e-03 1.163e-03 1.163e-03 1.163e-03 1.163e-03
hr[40]  3.452e-03 3.452e-03 3.452e-03 3.452e-03 3.452e-03
hr[41]  1.292e-03 1.292e-03 1.292e-03 1.292e-03 1.292e-03
hr[42]  1.981e-04 1.981e-04 1.981e-04 1.981e-04 1.981e-04
hr[43]  9.160e-04 9.160e-04 9.160e-04 9.160e-04 9.160e-04
hr[44]  4.424e-03 4.424e-03 4.424e-03 4.424e-03 4.424e-03
hr[45]  7.859e-05 7.859e-05 7.859e-05 7.859e-05 7.859e-05
hr[46]  6.101e-05 6.261e-05 6.302e-05 6.914e-05 7.208e-05
hr[47]  2.191e-04 2.209e-04 2.227e-04 2.268e-04 2.325e-04
hr[48]  1.782e-04 1.822e-04 1.836e-04 1.845e-04 1.860e-04
hr[49]  8.978e-05 9.067e-05 9.196e-05 9.509e-05 9.695e-05
hr[50]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[51]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[52]  6.098e-04 6.098e-04 6.098e-04 6.098e-04 6.098e-04
hr[53]  1.173e-04 1.173e-04 1.173e-04 1.173e-04 1.173e-04
hr[54]  7.692e-04 7.692e-04 7.692e-04 7.692e-04 7.692e-04
hr[55]  1.651e-03 1.651e-03 1.651e-03 1.651e-03 1.651e-03
hr[56]  1.030e-04 1.030e-04 1.030e-04 1.030e-04 1.030e-04
hr[57]  6.377e-04 6.377e-04 6.377e-04 6.377e-04 6.377e-04
hr[58]  6.363e-05 6.363e-05 6.363e-05 6.363e-05 6.363e-05
hr[59]  1.870e-04 1.870e-04 1.870e-04 1.870e-04 1.870e-04
hr[60]  2.078e-05 2.078e-05 2.078e-05 2.078e-05 2.078e-05
hr[61]  3.010e-04 3.010e-04 3.010e-04 3.010e-04 3.010e-04
hr[62]  1.653e-02 1.653e-02 1.653e-02 1.653e-02 1.653e-02
hr[63]  5.742e-03 5.742e-03 5.742e-03 5.742e-03 5.742e-03
hr[64]  4.332e-05 4.456e-05 4.670e-05 4.828e-05 4.928e-05
hr[65]  5.764e-04 5.874e-04 6.104e-04 6.859e-04 7.050e-04
hr[66]  2.378e-03 2.378e-03 2.378e-03 2.378e-03 2.378e-03
hr[67]  7.128e-03 7.128e-03 7.128e-03 7.128e-03 7.128e-03
hr[68]  3.265e-03 3.265e-03 3.265e-03 3.265e-03 3.265e-03
hr[69]  5.169e-03 5.169e-03 5.169e-03 5.169e-03 5.169e-03
hr[70]  5.000e-03 5.000e-03 5.000e-03 5.000e-03 5.000e-03
hr[71]  2.362e-03 2.362e-03 2.362e-03 2.362e-03 2.362e-03
hr[72]  9.939e-03 9.939e-03 9.939e-03 9.939e-03 9.939e-03
hr[73]  1.163e-03 1.163e-03 1.163e-03 1.163e-03 1.163e-03
hr[74]  3.452e-03 3.452e-03 3.452e-03 3.452e-03 3.452e-03
hr[75]  1.981e-04 1.981e-04 1.981e-04 1.981e-04 1.981e-04
hr[76]  4.424e-03 4.424e-03 4.424e-03 4.424e-03 4.424e-03
hr[77]  7.859e-05 7.859e-05 7.859e-05 7.859e-05 7.859e-05
hr[78]  5.763e-05 5.866e-05 6.065e-05 6.246e-05 6.384e-05
hr[79]  2.248e-04 2.263e-04 2.269e-04 2.308e-04 2.417e-04
hr[80]  1.804e-04 1.838e-04 1.842e-04 1.855e-04 1.866e-04
hr[81]  9.591e-05 9.733e-05 1.001e-04 1.032e-04 1.077e-04
hr[82]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[83]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[84]  2.013e-08 2.049e-08 2.119e-08 2.206e-08 2.226e-08
hr[85]  3.670e-07 3.746e-07 3.798e-07 3.966e-07 4.032e-07
hr[86]  1.305e-07 1.340e-07 1.352e-07 1.427e-07 1.447e-07
hr[87]  4.050e-07 4.096e-07 4.117e-07 4.129e-07 4.159e-07
hr[88]  2.211e-07 2.222e-07 2.369e-07 3.803e-07 4.118e-07
hr[89]  1.059e-05 1.066e-05 1.083e-05 1.104e-05 1.117e-05
hr[90]  4.654e-06 4.669e-06 4.823e-06 5.207e-06 5.476e-06
hr[91]  9.820e-07 9.882e-07 9.922e-07 1.029e-06 1.095e-06
hr[92]  4.004e-07 4.050e-07 4.215e-07 4.372e-07 4.481e-07
hr[93]  1.554e-06 1.557e-06 1.634e-06 1.691e-06 1.709e-06
hr[94]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[95]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[96]  3.716e-05 3.716e-05 3.716e-05 3.716e-05 3.716e-05
hr[97]  0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
hr[98]  6.098e-04 6.098e-04 6.098e-04 6.098e-04 6.098e-04
hr[99]  1.173e-04 1.173e-04 1.173e-04 1.173e-04 1.173e-04
hr[100] 7.692e-04 7.692e-04 7.692e-04 7.692e-04 7.692e-04
hr[101] 1.651e-03 1.651e-03 1.651e-03 1.651e-03 1.651e-03
hr[102] 1.030e-04 1.030e-04 1.030e-04 1.030e-04 1.030e-04
hr[103] 6.377e-04 6.377e-04 6.377e-04 6.377e-04 6.377e-04
hr[104] 6.363e-05 6.363e-05 6.363e-05 6.363e-05 6.363e-05
