[[1]]
Markov Chain Monte Carlo (MCMC) output:
Start = 50275 
End = 51450 
Thinning interval = 25 
            beta[1]      beta[2]     beta[3]     beta[4]     beta[5]      beta[6] mulogsummer[1,1]
 [3,]         25.00745         32.54979         35.22387 0.9109634       8.639030  1.5772968
 [4,]         20.61940         36.53038         27.39013 0.8803454       7.862906  0.6671587
 [5,]         22.28222         25.09294         25.66049 0.9848496       7.191731  1.1674006
 [6,]         32.47423         39.23165         25.41954 0.8829531       9.048058  0.6173757
 [7,]         26.90840         38.68979         32.05422 0.9564947       8.808652  1.1534556
 [8,]         18.97379         31.86371         32.94991 1.0012525       8.145244  0.6904724
 [9,]         18.78305         30.73884         33.16147 0.9734148       7.696260  1.1965629
[10,]         23.43729         38.53146         32.90513 0.9475840       9.096292  1.4146144
[11,]         22.45304         46.63860         34.48175 0.8868291       8.976602  1.2828615
[12,]         28.52843         30.58106         28.86580 0.9924722       7.996002  0.3405396
[13,]         27.53022         29.80676         36.77682 1.0061143       9.057081  0.8044703
[14,]         22.66873         37.93171         28.04876 0.9088576       9.125783  0.6158941
[15,]         21.45629         38.11304         27.52539 0.8591541       9.058303  1.0367367
[16,]         20.70489         37.35756         31.10256 0.9887472       8.842533  1.6740419
[17,]         27.70168         39.36162         33.14114 0.9646831       8.890081  1.6274142
[18,]         24.65311         33.93312         27.85601 0.8811869       8.885471  1.4747061
[19,]         20.70668         30.06936         33.44555 0.9877369       8.346213  1.4880290
[20,]         29.93329         39.70997         31.05500 0.8943124       8.899574  0.6184956
[21,]         22.91512         25.23340         27.39370 0.9322083       7.001640  0.8736821
[22,]         19.11656         24.03648         28.68607 0.9117852       7.604101  0.8474500
[23,]         21.18955         36.44948         32.83054 0.8546094       9.045168  1.4323591
[24,]         28.74939         33.77485         33.52891 0.9306863       8.499229  1.0304288
[25,]         25.83933         29.41884         23.75463 0.9590310       7.180812  1.4248480
[26,]         23.38071         33.05251         43.81926 0.9366508       9.101505  1.7362414
[27,]         22.07402         27.82448         30.07613 0.9278236       8.810389  1.1213902
[28,]         23.12293         32.74242         28.84993 0.9687722       8.187970  0.7455820
[29,]         22.91161         32.60824         29.57324 0.8644308       8.285330  0.9256442
[30,]         28.02951         25.92482         26.82986 0.8861644       7.592953  1.5103186
[31,]         27.73984         30.23888         35.44208 0.9799984       9.136323  0.1034665
[32,]         19.36722         31.14965         27.55632 0.9980782       8.482230  1.0071046
[33,]         27.00991         31.94685         23.82980 0.8811688       8.992877  0.1704985
[34,]         48.13252         37.62423         34.41927 0.9269602       9.213583  0.2121675
[35,]         25.31462         33.13381         31.03221 0.9965038       8.529211  0.7675224
[36,]         25.21698         23.82732         25.88833 1.0893148       8.340426  0.6354582
[37,]         21.43419         31.12739         33.03837 0.9216829       8.096656  1.0881648
[38,]         29.70597         34.15980         21.35001 0.9211268       8.602999  1.1343705
[39,]         14.50217         21.50459         22.04228 0.8889467       6.061715  0.8643623
[40,]         24.68747         30.55923         26.03412 0.9469465       7.953052  0.9005729
[41,]         25.41963         29.88899         32.05375 0.9048394       8.577790  0.2300840
[42,]         20.96104         36.89413         33.33586 0.9078331       9.057558  0.7055096
[43,]         25.39482         32.12816         26.99962 1.1109742       7.608858  0.5667978
[44,]         21.25258         32.09373         30.94277 1.0567722       7.822252  1.8586984
[45,]         19.63939         37.09630         35.94785 0.9777074       9.055182  0.5318787
[46,]         22.11240         30.11099         34.21405 1.0040039       8.745289  1.2399846
[47,]         16.89557         44.44773         23.77260 0.8923869       8.616396  0.9311338
[48,]         23.83830         34.41341         27.43951 0.9931861       7.894846  1.6605294

attr(,"class")
[1] "mcmc.list"
